task_id,title,description,stage,week,due_date_offset_days,default_assignee,category,priority,is_premium,sort_order,time_estimate_minutes,related_article_slug,is_time_sensitive,window_weeks,commonly_completed_early,why_it_matters,catch_up_behavior
PREG-W16-002,Employer Leave Policy Review,Request FMLA and Paid Parental Leave handbooks from HR. Determine eligibility and notification deadlines.,second-trimester,16,-168,either,admin,must-do,False,6,45,week-16-the-quickening,False,8,False,"Parental leave policies vary wildly — some companies offer 16 weeks paid, others offer nothing beyond FMLA (12 weeks unpaid, if you qualify). Knowing your options early lets you plan financially: how many weeks can you take? Can you extend with PTO or short-term disability? The worst time to discover your leave is inadequate is when the baby arrives.",catch_up
PREG-W16-001,FSA/HSA Contribution Review,Review pre-tax health savings accounts. Maximize contributions for upcoming hospital bills and dependent care.,second-trimester,16,-168,either,finance,good-to-do,False,5,30,week-16-the-quickening,False,8,False,"A baby adds $5,000-$15,000+ in medical expenses in the first year. Maxing out your FSA/HSA contribution before delivery means you're paying those bills with pre-tax dollars — effectively a 25-35% discount on every medical expense. This is free money most new parents leave on the table.",catch_up
PREG-W16-005,Quad Screen Results,"Review second trimester screening results (AFP, hCG, estriol, inhibin A) with your provider. These tests screen for neural tube defects and chromosomal conditions. Abnormal results do not mean something is wrong — they mean further testing may be recommended. Ask your OB to explain the specific numbers and next steps.",second-trimester,16,-168,either,health,must-do,False,186,30,,False,4,False,"Abnormal results on this screening can cause major anxiety, but most positives are false positives. Understanding what the results mean BEFORE the call from your doctor prevents unnecessary panic. Ask specific questions: what is the actual risk number, and what are the next steps.",catch_up
PREG-W16-003,Create Baby Registry,"Begin selecting gear for your baby registry. Focus on needs vs. wants: car seat, crib, stroller, diapers, and feeding supplies are essential. Use the registry as a guide for baby shower gifts and your own budgeting. Register at 2-3 stores for price matching and variety. Ask experienced parents what they actually used vs. what collected dust. Most of this can be found in the budget page already precurated for you.",second-trimester,16,-168,either,gear,good-to-do,False,10,90,week-16-the-quickening,False,12,False,"A well-built registry tells gift-givers exactly what you need and prevents you from receiving 15 cute outfits and zero diapers. It also helps you budget — anything not covered by gifts, you know to buy yourself.

💡 Dad Tip: Check the budget page — we've already curated product recommendations with pricing to make this easier.",catch_up
PREG-W18-002,Nursery Theme Selection,"Decide on a nursery color scheme and theme to guide furniture, decor, and registry choices. Keep it simple — babies don't care about aesthetics. Pick a palette that works for future children too. Second trimester is the ideal time to plan this while mom still has energy and mobility for shopping trips.",second-trimester,18,-154,either,home,good-to-do,False,130,60,,False,12,False,"A nursery theme guides all future purchases: furniture color, bedding, wall art, storage. Without a plan, you end up with a room full of mismatched items. Deciding early means you can watch for sales and make coordinated choices over months instead of panic-buying at week 36.",catch_up
PREG-W18-001,Gender Reveal Planning,"If desired, plan a gender reveal event or creative announcement after the 20-week anatomy scan confirms the sex. Options range from simple (colored cake inside, scratch-off cards) to elaborate (balloon box, confetti cannons). Coordinate with the ultrasound tech to seal results in an envelope if you want to be surprised too.",second-trimester,18,-154,either,magic,good-to-do,False,123,10,,False,99,False,"If you want a gender reveal, it needs to happen between the anatomy scan (week 20) and the baby shower (weeks 28-34). That window goes fast when you factor in planning time, invitations, and schedules.",catch_up
PREG-W18-003,Register for Classes,"Sign up for childbirth, breastfeeding, newborn care, and infant CPR classes. Most hospitals offer packages. Try to complete all classes by week 34 in case baby arrives early. Go together — dad, these classes are as much for you as for her. You'll learn how to actually hold, diaper, swaddle, and feed the baby before the stakes are real.",second-trimester,18,-154,dad,education,must-do,False,187,30,,False,6,False,"Classes fill up and many are only offered on specific dates. If you wait until the third trimester, the good classes are full and you're scrambling. Complete them by week 34 — babies don't always wait for their due date.

💡 Dad Tip: Even if you won't be the primary caregiver, attend these classes. Two things happen: 1) Mom feels supported — most classes are full of couples, and going alone is tough. 2) Your anxiety about handling the baby drops dramatically after doing it once in person.",catch_up
PREG-W20-001,Research Pediatricians,Compile a list of in-network pediatricians. Check reviews and schedule meet-and-greet interviews if offered.,second-trimester,20,-140,either,health,must-do,False,3,60,week-20-the-anatomy-scan,False,4,False,"Good pediatricians in your network may not be accepting new patients. Starting the search now gives you time for meet-and-greets. You need a pediatrician selected before delivery — the hospital contacts them for newborn records.

💡 Dad Tip: Pick someone good AND nearby. Once the baby arrives, you'll have frequent visits right away — accessibility matters for emergencies too.",catch_up
PREG-W20-003,Dental Cleaning (Mom),"Schedule a cleaning. Hormonal changes increase risk of pregnancy gingivitis, which is linked to preterm birth.",second-trimester,20,-140,mom,health,good-to-do,False,9,10,week-20-the-anatomy-scan,False,4,False,"Pregnancy hormones increase blood flow to gums, making gingivitis more likely. Studies link severe periodontal disease to preterm birth. A routine cleaning is low-risk during pregnancy and can prevent a bigger problem. Most dentists recommend the second trimester for any dental work.",catch_up
PREG-W20-005,Research Doula Support,"Decide if a birth doula is desired for labor support. Doulas provide continuous emotional and physical support during labor — studies show they reduce C-section rates by 25% and shorten labor. Interview 2-3 candidates, ask about their philosophy, availability, and backup plan. Cost ranges $800-2,500; some insurance plans now cover it.",second-trimester,20,-140,mom,health,good-to-do,False,17,60,week-20-the-anatomy-scan,False,4,False,"Research shows doulas reduce C-section rates by 25% and shorten labor. Having continuous support from someone experienced — separate from the medical team and separate from your partner — lets each person play their role without trying to be everything.

💡 Dad Tip: This is an investment, but it's a game-changer — especially if you two are doing this without family nearby. A doula during labor significantly reduces stress for both of you.",catch_up
PREG-W20-008,Gender Reveal Party,"Host or attend gender reveal event if desired. If planning your own, keep it safe — avoid fire, explosions, or anything that requires cleanup in natural areas. Simple is better: colored cake, balloon pop, or confetti. The point is celebrating with people you love, not going viral.",second-trimester,20,-140,either,magic,good-to-do,True,188,10,,False,99,False,"If you're hosting, coordinate with the anatomy scan timing — you need results first. If attending someone else's event, enjoy it. These celebrations are rare — pregnancy is stressful, and marking joyful milestones with family and friends creates memories you'll look back on fondly.",catch_up
PREG-W20-007,Anatomy Scan Results Review,"Follow up on any findings from the 20-week anatomy scan with your OB-GYN. If the scan showed soft markers or anomalies, your provider may recommend additional testing (amniocentesis, fetal echocardiogram, or follow-up ultrasound). Write down questions before the appointment and bring your partner for support.",second-trimester,20,-140,either,health,must-do,False,131,15,,True,2,False,"If the anatomy scan flags a concern, you need to follow up promptly — some findings require additional testing (amnio, fetal echo) within a narrow window. Delaying follow-up increases anxiety and can miss critical intervention timing.",expired
PREG-W20-006,Maternity Wardrobe Audit,"Purchase essential maternity clothes as regular clothes become restrictive. Focus on: stretchy leggings/jeans with belly panels, loose tops, comfortable bras, and a supportive belly band. Buy a few key pieces that can be mixed and matched. Second trimester is when most women outgrow regular clothes.",second-trimester,20,-140,mom,gear,good-to-do,False,18,60,,False,12,False,"Wearing clothes that don't fit is surprisingly demoralizing during pregnancy. A few well-fitting maternity basics improve comfort and confidence during a time when body image is already challenging. Focus on versatile pieces — leggings, stretchy jeans, loose tops — that work across trimesters.",catch_up
PREG-W20-004,Budget Planning: Post-Baby,"Create a pro-forma monthly budget including estimated costs: diapers ($70-80/mo), formula ($150-200/mo if not breastfeeding), childcare ($1,000-2,500/mo depending on area), and gear purchases. People think you need perfect finances before having a baby — it's not true, but you do need a plan. Track where money goes now so you know where to cut.",second-trimester,20,-140,dad,finance,must-do,False,11,60,week-20-the-anatomy-scan,False,8,False,"The first year with a baby costs $12,000-$15,000 in basics alone. Without a budget, money stress compounds the sleep deprivation stress. A plan doesn't have to be perfect — it just has to exist so you're not blindsided.

💡 Dad Tip: Check the budget page — we already have a recurring expenses section to help define your monthly fixed costs.",catch_up
PREG-W20-002,20-Week Anatomy Scan,"Attend the mid-pregnancy ultrasound to check fetal organ development, spine, brain, heart chambers, and measurements. This scan takes 30-45 minutes and is the most detailed look at the baby before birth. Dad should be there — you'll see fingers, toes, and the baby moving in real time. Ask the tech to explain what you're seeing.",second-trimester,20,-140,either,health,must-do,False,8,10,week-20-the-anatomy-scan,True,2,False,"This is the most detailed look at your baby before birth. It checks heart, brain, spine, kidneys, and limbs. If something is flagged, early detection means more time to consult specialists and prepare — whether that means additional monitoring or a delivery plan at a specialized hospital.

💡 Dad Tip: Attend this one. You'll see the full anatomy of your baby — some parents start making out features. It's a milestone moment with your partner. Celebrate afterward.",expired
PREG-W22-002,Hire Photographer for Maternity,Book maternity photo session for weeks 28-34 when the belly is prominent but mom is still comfortable. Research photographers who specialize in maternity shoots — check their portfolio for lighting and posing style. Book at least 4-6 weeks in advance since popular photographers fill up fast.,second-trimester,22,-126,either,magic,good-to-do,True,132,10,,False,99,False,"Maternity photos are best taken between 28-34 weeks when the belly is prominent but mom is still comfortable. Popular photographers book up 6-8 weeks in advance. If you wait too long, the baby might arrive before the session.

💡 Dad Tip: A maternity shoot creates a memory you'll treasure. One dad did it on the beach in Maui — the photos became their most-loved family album.",catch_up
PREG-W22-001,Start Birth Plan Draft,"Create a delivery experience expectation document covering pain management preferences (epidural, natural, combination), labor positions, who is allowed in the room, ambient environment (dim lights, music, minimal interruptions), and contingency plans for C-section or complications. Print 4-5 copies for nurse shift handoffs — nurses rotate every 8-12 hours, and verbal handoffs lose detail.",second-trimester,22,-126,either,health,good-to-do,False,124,30,,False,4,False,"Having a birth plan isn't about controlling the delivery — it's about communicating your preferences to a medical team that doesn't know you. Without one, decisions are made for you by whoever is on shift. A plan ensures your voice is heard even when you're in too much pain to articulate preferences.

💡 Dad Tip: You'll likely be in the hospital for hours or days. Nurses and doctors change shifts constantly. Having printed copies of your birth plan saves you from repeating preferences every time.",catch_up
PREG-W22-003,Sibling Preparation,"If applicable, begin preparing older siblings for the new baby. Read age-appropriate books about becoming a big brother/sister, involve them in nursery setup, and let them pick a gift for the baby. Be honest about what changes — some kids regress temporarily, and that's normal. Start these conversations months before the due date.",second-trimester,22,-126,either,development,good-to-do,False,189,15,,False,99,False,"Older siblings can feel displaced by a new baby — behavioral regression, jealousy, and acting out are common. Early preparation (books, conversations, involving them in nursery setup) significantly reduces the disruption and helps them feel included rather than replaced.",catch_up
PREG-W24-001,Nursery Room Clearance,"Clear the designated nursery room of existing furniture and clutter to prepare for painting and setup. Second trimester is the ideal time — you still have energy and mobility. Measure the room dimensions and doorways before buying furniture. Decide what stays, what goes to storage, and what gets donated.",second-trimester,24,-112,dad,home,good-to-do,False,13,120,week-22-the-nursery-project,False,12,False,"The nursery room needs to be cleared before painting, furniture delivery, and setup can happen. If you wait until the third trimester, you're doing heavy lifting when mom can't help and the due date is looming. Second trimester energy makes this much easier.",catch_up
PREG-W24-020,Research Airline Pregnancy Restrictions,Airlines restrict flying after certain weeks of pregnancy (typically 36+). Some require a doctor's certificate. Research your airline's policy before booking any third-trimester travel.,second-trimester,24,-112,dad,admin,good-to-do,False,217,20,,False,8,False,Booking a babymoon or visiting family in T3 without checking restrictions can mean cancellations and lost money.,catch_up
PREG-W24-003,Baby Shower Planning Start,"Coordinate with the baby shower host on date, venue, guest list, and registry details. Ideal timing is weeks 28-34. Share your registry link, dietary restrictions, and any theme preferences. If you want a co-ed shower or a 'dadchelor' party, communicate that early. Keep guest list manageable — 20-30 people is the sweet spot.",second-trimester,24,-112,either,magic,good-to-do,False,133,10,,False,99,False,"A well-coordinated baby shower fills gaps in your registry and celebrates this milestone with the people you care about. Poor coordination leads to duplicate gifts, scheduling conflicts, or a shower that happens too close to the due date when mom is too uncomfortable to enjoy it.",catch_up
PREG-W24-004,Nursery Furniture Shopping,"Purchase major nursery furniture: crib, dresser/changing table, and storage. Order early — furniture delivery takes 4-8 weeks and items go in and out of stock. Measure twice. Check that the crib meets current CPSC standards (no drop sides). The dresser can double as a changing table with a contoured pad on top to save space and money.",second-trimester,24,-112,either,gear,must-do,False,190,30,,False,12,False,"Nursery furniture has 4-8 week delivery times and items go in and out of stock. If you wait until the third trimester, you might not have a crib when the baby arrives. Order early, assemble early, and have the room ready by week 36.",catch_up
PREG-W24-002,Plan Babymoon,"Schedule a final couples trip or weekend away before travel becomes restricted in the third trimester. Travel as much as you can now — once the baby arrives, your travel will be severely impacted. At 7 PM wanting spontaneous pizza in Italy? Not happening anymore. Second trimester is the sweet spot: morning sickness is gone, energy is back, and the belly isn't too big for comfort.",second-trimester,24,-112,dad,magic,good-to-do,False,19,60,week-24-viability-week,False,99,False,"Travel as much as you can while you can. Once the baby arrives, spontaneous trips are gone for a long time. At 7 PM wanting pizza in Italy? Not happening anymore. The babymoon is your last carefree trip together — make it count.",catch_up
PREG-W26-002,Third Trimester Prep,"Stock up on household supplies as mobility decreases in the third trimester. Buy in bulk: paper towels, toilet paper, trash bags, laundry detergent, dish soap, toiletries, and cleaning supplies. Third trimester fatigue hits hard — having basics stocked means fewer emergency store runs when mom can barely walk.",second-trimester,26,-98,dad,prep,good-to-do,False,134,30,,False,6,False,Third trimester mobility drops fast. Bending down to stock shelves or carrying heavy bags becomes uncomfortable or impossible. Having household basics stockpiled means fewer emergency runs when she can barely walk from the couch to the bathroom.,catch_up
PREG-W26-001,Glucose Screening Test,Complete the 1-hour glucose challenge test to screen for gestational diabetes (standard at 24-28 weeks).,second-trimester,26,-98,mom,health,must-do,False,12,10,week-24-viability-week,True,2,False,"Gestational diabetes affects 6-9% of pregnancies and has no symptoms you'd notice. Undiagnosed GD increases risk of a large baby (harder delivery), preeclampsia, and neonatal blood sugar issues. A one-hour test catches it while there's still time to manage it with diet.

💡 Dad Tip: Attend this one. The glucose drink can make her feel dizzy — being there helps her settle in and feel supported.",expired
PREG-W28-006,Pet Behavioral Prep,"Begin training pets to respect nursery boundaries and adjust to baby sounds. Play recordings of crying babies at increasing volume. Practice walking with a stroller so pets get used to it. Introduce baby-scented blankets before bringing the baby home. Consult a trainer if your pet has anxiety or aggression issues — address this before delivery, not after.",third-trimester,28,-84,dad,home,good-to-do,False,22,30,week-27-third-trimester-prep,False,12,False,"Pets that aren't prepared for a newborn can react unpredictably — scratching when startled by crying, jumping into the crib, or showing anxiety that manifests as destructive behavior. A few weeks of boundary training prevents a stressful (or dangerous) situation when you're already overwhelmed.",catch_up
PREG-W28-004,Life Insurance Audit,Review existing life insurance policies. Determine if coverage needs increasing to protect the new dependent.,third-trimester,28,-84,either,finance,good-to-do,False,20,45,week-27-third-trimester-prep,False,8,False,"You now have a dependent who relies entirely on your income. If something happens to you or your partner, life insurance is what keeps your family housed, fed, and on track. The younger and healthier you are when you apply, the cheaper the premiums. Don't wait until there's a reason to worry.",catch_up
PREG-W28-020,Buy Pregnancy Seatbelt Adjuster,"Purchase a pregnancy seatbelt adjuster (e.g., Mimi Belt) that redirects the lap belt below the belly. Standard seatbelts can put dangerous pressure on the abdomen during pregnancy.",second-trimester,26,-84,dad,safety,good-to-do,False,999,20,,False,6,False,A sudden stop with a standard seatbelt across the belly can cause placental abruption. A $30 adjuster eliminates this risk.,catch_up
PREG-W28-005,Update Beneficiaries,"Check 401k, IRA, and life insurance beneficiary designations. Plan to add your child as a contingent beneficiary after birth. This is a 15-minute task that most people skip for years. Log into each account, verify current beneficiaries are correct, and note which ones need updating post-birth. Set a reminder for after the birth certificate arrives.",third-trimester,28,-84,either,finance,must-do,False,21,30,week-27-third-trimester-prep,False,8,False,"If your beneficiary designations still list an ex or 'estate,' your child may not receive the money you intended for them — or it could get tied up in probate. A 15-minute login and update prevents a legal mess your family shouldn't have to deal with.",catch_up
PREG-W28-001,Research Cord Blood Banking,"Decide whether to bank cord blood privately, donate to a public bank, or discard. Order kit if banking.",third-trimester,28,-84,either,health,good-to-do,False,14,45,week-27-third-trimester-prep,False,4,False,"Cord blood contains stem cells that can treat certain cancers and genetic conditions. The collection must happen at birth — you can't go back and get it later. If you're considering private banking, the kit needs to be at the hospital during delivery.",catch_up
PREG-W28-002,Purchase Crib,"Buy a crib that meets current CPSC safety standards (no drop sides, slat spacing under 2-3/8 inches). Measure the room to ensure fit with at least 12 inches clearance from walls and windows. Assemble it early — you do not want to be putting together furniture at 39 weeks. Keep the receipt in case you need to exchange.",third-trimester,28,-84,dad,gear,must-do,False,15,60,week-22-the-nursery-project,False,12,False,A crib is where your baby sleeps for 14-17 hours per day. A non-compliant crib is the most dangerous piece of furniture in your home. Current CPSC standards exist because babies died in older designs. This is not the item to buy used without verifying the model and recall status.,catch_up
PREG-W28-003,Buy Firm Crib Mattress,Purchase a specifically firm infant mattress. Perform the two-finger test to ensure snug fit in crib frame.,third-trimester,28,-84,dad,gear,must-do,False,16,30,week-22-the-nursery-project,False,12,False,A mattress that's too soft or too small for the crib frame is a suffocation risk. The two-finger test (no more than two fingers between mattress and crib side) takes 10 seconds and is the difference between a safe sleep environment and a dangerous one.,catch_up
PREG-W28-007,Kick Count Training,"Learn how to track fetal movements: 10 kicks or movements in 2 hours is the benchmark. Pick a consistent time each day when baby is typically active (often after meals). If you notice a significant decrease in movement, contact your OB immediately — do not wait until the next appointment. Kick counts are a simple early warning system.",third-trimester,28,-84,mom,health,must-do,False,135,30,,False,4,False,A significant decrease in fetal movement can indicate distress. Knowing the baseline (10 kicks in 2 hours) means you can catch a problem early and get to the hospital before it becomes an emergency. This simple habit gives you an early warning system that costs nothing.,catch_up
PREG-W30-003,Breastfeeding Class,"Attend a breastfeeding basics class — yes, both of you. Dad needs to understand latch, positions, and how to troubleshoot so you can help at 3 AM. Topics covered: proper latch technique, common positions (cradle, football, side-lying), signs baby is getting enough milk, and when to call a lactation consultant. Most hospitals offer this free.",third-trimester,30,-70,mom,education,must-do,False,136,30,,False,6,False,"Many breastfeeding problems (bad latch, pain, low supply concerns) could be prevented if both parents knew the basics before the baby arrived. Dad knowing how to help with positioning at 3 AM makes the difference between a successful feed and a frustrated, crying household.

💡 Dad Tip: This might be the most important class you attend. If you figure out breastfeeding early, a huge number of downstream challenges resolve themselves.",catch_up
PREG-W30-001,Purchase Glider/Rocker,"Select a comfortable glider or rocker for the nursery — you'll spend hundreds of hours in this chair feeding, soothing, and rocking the baby. Test in-store: can you stand up without using your hands (you'll be holding a baby)? Is the back high enough to support your head during late-night feeds? Check the recline mechanism and whether it fits through your nursery door.",third-trimester,30,-70,dad,gear,good-to-do,False,23,60,week-22-the-nursery-project,False,12,False,"You will spend 2-4 hours a day in this chair for the first year. A bad chair means back pain, neck strain, and dreading every feeding session. A good chair means you can actually rest while feeding at 3 AM. This is one purchase worth testing in-store before buying.

💡 Dad Tip: A glider does more than you'd expect: 1) Relieves mom's back pain from carrying the baby. 2) Makes nursing (breast or bottle) more comfortable. 3) The rocking motion soothes and calms the baby. 4) Helps rock the baby to sleep.",catch_up
PREG-W30-005,Third Trimester Meal Prep,Cook and freeze meals for post-baby recovery. Aim for 10-15 easy meals that can be reheated one-handed while holding a baby.,third-trimester,30,-70,dad,home,good-to-do,False,193,60,,False,12,False,"Meal prep is a gift to your future self. In the first weeks, you will not have time or energy to cook. Having 10-15 freezer meals means eating real food instead of surviving on DoorDash and granola bars. Eat with one hand? These meals need to work for that.",catch_up
